"root","class1","class1OrderLTR","class1OrderLINE","class1OrderSINE","class2"
-0.276461667914712,-0.27441235370942,-0.283187716544511,-0.074676208841985,-0.00278746248530051,-0.288763530731619
-0.281808442623539,-0.27048732524676,-0.287103290200826,-0.078871342858309,-0.00442354808197076,-0.291301742317974
-0.281022914326956,-0.278296203307831,-0.286753463102732,-0.0803812359520475,-0.00557867250846038,-0.288585659372136
-0.282051215003759,-0.276988548228216,-0.291953507627985,-0.0822848837763493,-0.00549183464872422,-0.29408748061652
-0.282864198994458,-0.273334037035242,-0.290323587075627,-0.0802297024491996,-0.00435872587412953,-0.292673320130628
-0.284012526591745,-0.281791590866337,-0.293097780489995,-0.0797697120952476,-0.00574004581153697,-0.29336173324413
-0.284168436662176,-0.277652448132796,-0.292917288179574,-0.0787450806751264,-0.00669802285621369,-0.297897710211579
-0.281179694198848,-0.280951097723782,-0.292386488698638,-0.0802446640479031,-0.00685835231978889,-0.292195866306736
-0.287260523996393,-0.276689040589499,-0.293287331644713,-0.0786487892524635,-0.00620759706588856,-0.296522055509873
-0.288435471041703,-0.280209243815409,-0.29342224061208,-0.0803549132315444,-0.00823255635097407,-0.294680880287429
-0.285104228374191,-0.2799481242038,-0.296240412578622,-0.0822216106002454,-0.00737274411534111,-0.300910830091924
-0.285890067748379,-0.281017598664317,-0.294088137351335,-0.0810807848349505,-0.0080396993262926,-0.303055856465738
-0.290555045591078,-0.279696251752532,-0.296325737367393,-0.0828123868616719,-0.00790985535307704,-0.299651307337861
-0.290657028250814,-0.282213303830353,-0.295384347958737,-0.0834681479534793,-0.0100372351351707,-0.301652622063441
-0.289801608647733,-0.287205722738562,-0.296298075755558,-0.0813781336716621,-0.0106586466255289,-0.305559569683718
-0.292494293656559,-0.288787856441851,-0.299728959018286,-0.0819401904162949,-0.0105366804958882,-0.306274815149269
-0.289632896301579,-0.285861343406632,-0.29885112863774,-0.083474250512029,-0.0106419319355911,-0.307738181473005
-0.294391574934651,-0.289395769910278,-0.300662681844326,-0.086379360298167,-0.0101172176112655,-0.306200424535934
-0.293912431773949,-0.28789734868686,-0.303432752286257,-0.0850208982270497,-0.0101477938783876,-0.306978473975097
-0.294767572178409,-0.289490015914599,-0.303137147169278,-0.0848183885363506,-0.00994293215863325,-0.30971560441116
-0.298728410602262,-0.288232207926638,-0.305350795919442,-0.0872448663851635,-0.0117432311936937,-0.314995710186305
-0.29706065333702,-0.290938921320851,-0.301027421206898,-0.0881837052842669,-0.0115983329734837,-0.310934164138491
-0.294382909471532,-0.291844736115405,-0.302824770038076,-0.0873718424562096,-0.0114725233194439,-0.314539959915382
-0.296135454984359,-0.291617476178265,-0.306507960983761,-0.0873708834938203,-0.0109158849202497,-0.317032018534886
-0.297566076344445,-0.29331564969639,-0.306901352708405,-0.0866359308732618,-0.0133461736462533,-0.318147213451108
-0.301395338826615,-0.295884984735485,-0.307105163208705,-0.0876049752820129,-0.0133717494195048,-0.317550518879328
-0.298264519879601,-0.29354368520502,-0.304991386494378,-0.0881599157405267,-0.0134914499494188,-0.317697627856089
-0.300448867573077,-0.293665132853915,-0.307706886234165,-0.088009175332307,-0.0133536242415877,-0.319124527037859
-0.301077238761816,-0.298281303874482,-0.310094232624876,-0.0878378244036919,-0.01367167930532,-0.320403257477615
-0.303666977582072,-0.297984740037753,-0.307086729503901,-0.0867417245974496,-0.0134793867469337,-0.317841287801165
-0.30453111378392,-0.295286623207821,-0.310018170175774,-0.0873499143536747,-0.0139481516524065,-0.321624448600376
-0.303526870703878,-0.297725553284805,-0.309539877469999,-0.0894162398885856,-0.0136787236494888,-0.31985565766813
-0.305998430822911,-0.297646233105123,-0.314252769096957,-0.0877603877433502,-0.0146580614376514,-0.323810057123877
-0.303048747326872,-0.30118225989118,-0.315058924758298,-0.0888226929168375,-0.015067111897432,-0.324039808996017
-0.305059633652458,-0.298606765262441,-0.315739994613159,-0.0887179329859868,-0.015351489962244,-0.326037666324145
-0.304936769139322,-0.301403440235106,-0.31392040600677,-0.090070929465793,-0.0155900771197553,-0.323929963815251
-0.306908932829895,-0.302207253137046,-0.315594405164479,-0.0898719311114176,-0.0154636594795907,-0.324449607153032
-0.307144372336552,-0.301531775976013,-0.314843110170195,-0.0894413938557089,-0.0153074626996455,-0.328508592351662
-0.308938144784162,-0.302145603096178,-0.31647920260322,-0.0886602527150767,-0.015169771906316,-0.326022361510203
-0.309237575833776,-0.301675941076019,-0.31419975885132,-0.0901121422532212,-0.0156424076169763,-0.330264287752542
-0.306526069321447,-0.303963330173484,-0.319624801536571,-0.0890097427933177,-0.0163166891663855,-0.333056137852489
-0.309357471965967,-0.305344694710807,-0.318403289127337,-0.0878004739586963,-0.0165887720518706,-0.332474762418305
-0.308508223772914,-0.305822530851218,-0.319606911519764,-0.0883893794204417,-0.0165659900679035,-0.335354378546207
-0.310432938894811,-0.30754207143972,-0.318785738600019,-0.0906377390721581,-0.0166091046954079,-0.336615840874855
-0.311153900099802,-0.307658284261607,-0.322455938930569,-0.0897766081626064,-0.0163897936820951,-0.337810741529928
-0.314121081198117,-0.308320579775233,-0.321233010686558,-0.091069672343998,-0.0175354326201995,-0.33555280887171
-0.311266743271126,-0.309267825268436,-0.323551877372711,-0.0902490659835674,-0.0175941975343752,-0.337880301005316
-0.314445302704031,-0.306583228559352,-0.324236266517766,-0.0905631070951048,-0.0173359591529781,-0.338078708645173
-0.312911125445472,-0.309533538595994,-0.322299479756768,-0.0908478897397705,-0.0175485577398015,-0.340384877475569
-0.314988129974046,-0.311306825795203,-0.323687904826734,-0.0911443825710248,-0.017598227442696,-0.341086853657899
-0.315703647748758,-0.311557785667298,-0.323911296435952,-0.0912163999126064,-0.0183078859154695,-0.341464792919255
-0.314778624778766,-0.309956046863938,-0.323868263942893,-0.0904874646462575,-0.0184081577116607,-0.341166310727187
-0.316863640121291,-0.311588995044897,-0.327572706786803,-0.0920251924740425,-0.0184120904879064,-0.344075512107942
